account,計算、記述,名詞
accoutrement,装飾具,名詞
accuracy,正確さ,名詞
also,"～も,又",副詞
ankle,足首,名詞
announce,知らせる、示す、発表する,動詞
another,他の,形容詞
answer,答える,動詞
apparatus,器具、装置,名詞
appeal,アピールする、訴える,動詞
